epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_precision_glioma,train_recall_glioma,train_f1_glioma,train_precision_meningioma,train_recall_meningioma,train_f1_meningioma,train_precision_none,train_recall_none,train_f1_none,train_precision_pituitary,train_recall_pituitary,train_f1_pituitary,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_precision_glioma,val_recall_glioma,val_f1_glioma,val_precision_meningioma,val_recall_meningioma,val_f1_meningioma,val_precision_none,val_recall_none,val_f1_none,val_precision_pituitary,val_recall_pituitary,val_f1_pituitary,dataset,task
1,0.0974671761034964,0.711182961973712,0.7105749913872711,0.711182961973712,0.7106216245025756,0.7007650273224044,0.7038419319429199,0.7023001095290252,0.6596481107585809,0.6300275482093664,0.6444976750739749,0.7728040540540541,0.7527766351295763,0.7626588872681809,0.7322504584752423,0.774023816117419,0.7525578890683898,0.05349442874894933,0.8335676131571549,0.8594170940272982,0.8335676131571549,0.818700687625232,0.7312626603646185,0.9584070796460177,0.8295672156261968,0.9675174013921114,0.4638487208008899,0.6270676691729323,0.8883928571428571,0.9644588045234249,0.924864446165763,0.8920863309352518,0.9548954895489549,0.922422954303932,brain_mri_nd5,classification
2,0.059312126219247474,0.8296197371195614,0.8289951678231483,0.8296197371195614,0.8291366240235982,0.8237095363079615,0.8267837541163556,0.8252437821847266,0.7841726618705036,0.7506887052341598,0.7670654468684025,0.8839983545865899,0.8839983545865899,0.8839983545865899,0.8436916511069619,0.8759346441428967,0.8595108695652174,0.025604070176045515,0.9297160528535282,0.9303552359536496,0.9297160528535282,0.9291840276049229,0.9012658227848102,0.9451327433628318,0.9226781857451404,0.9432098765432099,0.8498331479421579,0.8940901111761264,0.9440993788819876,0.9822294022617124,0.9627870150435471,0.9444444444444444,0.9537953795379538,0.9490968801313628,brain_mri_nd5,classification
3,0.047170853196520424,0.8705981584311521,0.8702491417388586,0.8705981584311521,0.8703347944722237,0.8662280701754386,0.867178924259056,0.8667032364234778,0.8330498866213152,0.8096418732782369,0.8211791003073484,0.9121287128712872,0.9095022624434389,0.9108135942327498,0.8845222072678331,0.909997230684021,0.8970788970788971,0.02821384783557205,0.9139724486927185,0.9215144096916336,0.9139724486927185,0.9116218002370562,0.8805132317562149,0.9716814159292035,0.9238535969709718,0.9911242603550295,0.7452725250278087,0.8507936507936508,0.9633943427620633,0.9353796445880452,0.9491803278688524,0.8751210067763795,0.9944994499449945,0.9309989701338826,brain_mri_nd5,classification
4,0.04160816889064305,0.8902087579953609,0.8900215854673448,0.8902087579953609,0.8900774759610399,0.8842828641099535,0.8757409440175631,0.8799911758217516,0.8530963621216329,0.8462809917355372,0.8496750103720094,0.9265979381443299,0.9243109831345125,0.9254530477759473,0.9097560975609756,0.9296593741345888,0.9196000547870155,0.01949754193564471,0.9465842001686815,0.9474805109018922,0.9465842001686815,0.9465915133416019,0.9667590027700831,0.9265486725663716,0.9462268413917758,0.9132821075740944,0.9254727474972191,0.9193370165745857,0.9865771812080537,0.9499192245557351,0.9679012345679012,0.9307135470527405,0.9900990099009901,0.9594882729211087,brain_mri_nd5,classification
5,0.035609946190345194,0.9107331130948197,0.910593443122066,0.9107331130948197,0.9106001764579845,0.9029850746268657,0.9031833150384193,0.9030841839534628,0.8927666760484098,0.8738292011019284,0.8831964360295141,0.9354571783202317,0.9300699300699301,0.9327557755775577,0.9213726019994596,0.9443367488230408,0.9327133479212254,0.01774189304319541,0.9564239527691876,0.9578081380919442,0.9564239527691876,0.9564175477927447,0.9234006734006734,0.9707964601769912,0.9465056082830026,0.9570011025358324,0.9655172413793104,0.9612403100775194,0.96513470681458,0.9838449111470113,0.9744,0.9963898916967509,0.9108910891089109,0.9517241379310345,brain_mri_nd5,classification
6,0.03176668834774155,0.9200815351092992,0.9200235203495861,0.9200815351092992,0.920042645548291,0.9177870839761957,0.9141602634467618,0.9159700835899692,0.8972868217054264,0.8928374655647383,0.8950566141949737,0.9410795220436753,0.939531057178116,0.9403046521202141,0.9315256094220762,0.9418443644419828,0.9366565684384467,0.012457818837193858,0.970199606409896,0.9703478576940068,0.970199606409896,0.9700961276870914,0.9674008810572687,0.9716814159292035,0.9695364238410596,0.9779326364692218,0.9365962180200222,0.9568181818181818,0.9775280898876404,0.9838449111470113,0.9806763285024155,0.9616204690831557,0.9922992299229924,0.9767190037899296,brain_mri_nd5,classification
7,0.028452472617290534,0.926829268292683,0.926776746368896,0.926829268292683,0.9267851128893319,0.9237419640877854,0.9148188803512624,0.9192587690271343,0.9026743865453543,0.9019283746556473,0.9023012264020945,0.9505969534787979,0.9498148909913616,0.9502057613168724,0.9387978142076503,0.9515369703683191,0.945124467060927,0.01698779211033189,0.9589541748664605,0.9594365833663812,0.9589541748664605,0.9588490911046239,0.9317032040472175,0.9778761061946902,0.9542314335060449,0.958968347010551,0.9098998887652948,0.9337899543378996,0.9754901960784313,0.9644588045234249,0.9699431356620634,0.9834437086092715,0.9801980198019802,0.9818181818181818,brain_mri_nd5,classification
8,0.02526821446705641,0.9354045125465664,0.9352777028346085,0.9354045125465664,0.9353042315969338,0.9320603907637656,0.9216245883644347,0.9268131140302461,0.9179415855354659,0.9090909090909091,0.9134948096885813,0.9514879739094986,0.9600987248046071,0.9557739557739557,0.9458503401360544,0.9626142342841318,0.9541586604446884,0.011406165795399234,0.9699184706213101,0.9701512734091164,0.9699184706213101,0.9697698511154612,0.9742451154529307,0.9707964601769912,0.9725177304964538,0.9789227166276346,0.9299221357063404,0.9537934968625214,0.967032967032967,0.9951534733441034,0.9808917197452229,0.9585106382978723,0.9911991199119912,0.9745808545159546,brain_mri_nd5,classification
9,0.024883075789348306,0.9383566458142968,0.9384013319065164,0.9383566458142968,0.9383673044462302,0.9368630926007975,0.928430296377607,0.9326276325945528,0.9159159159159159,0.9242424242424242,0.9200603318250377,0.9592088998763906,0.9576306046894282,0.9584191025113216,0.9489373447419266,0.9520908335641096,0.9505114735969035,0.00967553390594137,0.9735732358729267,0.9738912900240453,0.9735732358729267,0.9736309045852819,0.9647266313932981,0.968141592920354,0.9664310954063604,0.9533622559652929,0.9777530589543938,0.9654036243822076,0.9870967741935484,0.9886914378029079,0.9878934624697336,0.996594778660613,0.9658965896589659,0.9810055865921787,brain_mri_nd5,classification
10,0.02182803955778478,0.9464398678568918,0.9464555889544782,0.9464398678568918,0.9464423043469211,0.9423669159700836,0.9405049396267837,0.9414350071420723,0.9312809235843871,0.9333333333333333,0.9323059988992846,0.9630858564910826,0.9551624845742492,0.9591078066914498,0.9556718061674009,0.9612295762946552,0.9584426342675687,0.009994352535168711,0.9730109642957548,0.9732487788107286,0.9730109642957548,0.9729240119581241,0.9733333333333334,0.9690265486725663,0.9711751662971175,0.9849012775842044,0.9432703003337041,0.9636363636363636,0.9580745341614907,0.9967689822294022,0.9770387965162312,0.9719525350593312,0.9911991199119912,0.9814814814814815,brain_mri_nd5,classification
