epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,dataset,task
1,0.023329807994347675,0.024029181530727212,0.0652633397945529,0.4167774909704774,0.06329077245307291,0.3006099446784045,0.0331885073319579,0.21096097488210253,brain_stroke_bleeding,segmentation
2,0.02090577507199208,0.021529141083434598,0.5652953179116813,0.85888671875,0.3695897390711603,0.4626393129599979,0.286389347759244,0.42973714892086523,brain_stroke_bleeding,segmentation
3,0.019358308849767112,0.020571088671085223,0.8734961060492759,0.8981651421168342,0.4804450297447967,0.4901945324453498,0.4438704111798921,0.45767401405410435,brain_stroke_bleeding,segmentation
4,0.017900408740608158,0.01944006477768098,0.907805243427267,0.9239643039415829,0.5023512997379364,0.5280273620461011,0.4674356663707268,0.4869671823406496,brain_stroke_bleeding,segmentation
5,0.01627438209519278,0.017543617954206225,0.9337868486303527,0.9454081933103015,0.5306241659822172,0.5450449731265187,0.49188046201618835,0.5040262361579844,brain_stroke_bleeding,segmentation
6,0.014685679255264532,0.016671260247877493,0.9710681060099181,0.9477158742933417,0.5721882111537357,0.5556883999091806,0.5287056075758878,0.5109018463046605,brain_stroke_bleeding,segmentation
7,0.013392502137035207,0.015402372458472324,0.9870903726188602,0.9757515605370602,0.6003695200078301,0.5972906721384368,0.551335552169007,0.5455287592682448,brain_stroke_bleeding,segmentation
8,0.012339992547215382,0.014485123469002882,0.9906583925338476,0.9918329440169598,0.6251602236763069,0.6635239113545268,0.5683944234750349,0.5951255380424673,brain_stroke_bleeding,segmentation
9,0.011535334497014582,0.013610521602870232,0.990361057540932,0.9905852504711056,0.55410720289531,0.5259108806817915,0.5251361818397831,0.5098408917100048,brain_stroke_bleeding,segmentation
10,0.010897775853911334,0.012612297307306798,0.990053575645466,0.9903570587311558,0.5105373025383295,0.49757758508035904,0.5016305610989193,0.49517852936551715,brain_stroke_bleeding,segmentation
11,0.01034325432567212,0.012355623832300081,0.9899877745198362,0.9903570587311558,0.49892355893161655,0.49757758508035904,0.49571447485277775,0.49517852936551715,brain_stroke_bleeding,segmentation
12,0.0099232762076092,0.01156599887052373,0.9900575729101071,0.9912612378297738,0.5131691665632638,0.6086955775058914,0.5029864749299565,0.5579869308489174,brain_stroke_bleeding,segmentation
13,0.009546808166527929,0.009861855500906557,0.9915986721701826,0.9927714745603015,0.727331695525441,0.8142338793542397,0.6446701796618571,0.7274202996118829,brain_stroke_bleeding,segmentation
14,0.00916436322089707,0.009599582933301303,0.9914713746654596,0.9927825160961056,0.7801616538626314,0.8179273686249233,0.6923963549985466,0.7313918790702723,brain_stroke_bleeding,segmentation
15,0.008819477271373086,0.009501449876095183,0.9913154813444585,0.9931162158448492,0.7882187293759477,0.8224237492181747,0.7002662757016952,0.7363580709023441,brain_stroke_bleeding,segmentation
16,0.008522686489883538,0.009265172271872285,0.9912589046756927,0.9925027971890703,0.7931494848089864,0.8220264692147842,0.7051822404064876,0.7357838410892923,brain_stroke_bleeding,segmentation
17,0.00801912824663167,0.008462560086993117,0.9914015762751889,0.9920304648241206,0.798312141425676,0.8122161694872942,0.7104538882013076,0.7250957815015326,brain_stroke_bleeding,segmentation
18,0.007654432836047348,0.00861973206901071,0.9912988773221033,0.9930953596105527,0.7987656838164053,0.8262934917715885,0.7108923972965391,0.7406135528125991,brain_stroke_bleeding,segmentation
19,0.007425952993652382,0.008027667900425705,0.9910876372599181,0.990891959798995,0.795436774409657,0.8095170608385033,0.7074504031811018,0.7219675221264736,brain_stroke_bleeding,segmentation
20,0.00723237174584223,0.008014925310959169,0.9912432230990239,0.992154375392588,0.798183226491036,0.8208796316531335,0.7102833066457384,0.7344519482843768,brain_stroke_bleeding,segmentation
21,0.0070275877524983675,0.007880079611461966,0.9915814531840366,0.9915998449277639,0.8054065046459542,0.8153375299237766,0.7178197635494152,0.7283289731210941,brain_stroke_bleeding,segmentation
22,0.006892363618242951,0.007698536593111316,0.9916447944545025,0.9924574042085427,0.8066609491231221,0.8282213897189836,0.7191452097202978,0.7426123409628634,brain_stroke_bleeding,segmentation
23,0.006795322808720903,0.00739780667439178,0.991640489707966,0.9922427076790201,0.8065721070561338,0.8268411857418241,0.7190512300114698,0.7410297183562773,brain_stroke_bleeding,segmentation
24,0.006655765251638908,0.007393287579018866,0.9918329733745277,0.9925138387248744,0.8116811778433062,0.8269532750680415,0.7244809439076962,0.7412147600381924,brain_stroke_bleeding,segmentation
25,0.0065547792752383635,0.007396954537636072,0.9919771823835013,0.9923028227072864,0.8123751606220564,0.8241435423184276,0.7252523144222709,0.7380615746222645,brain_stroke_bleeding,segmentation
26,0.006151273171006883,0.0070632655716421616,0.9918637215640743,0.9922905543341709,0.8099169673862101,0.8280656829414311,0.7226201795969972,0.7424017417472745,brain_stroke_bleeding,segmentation
27,0.00587893191077547,0.006540512394665474,0.992223782863665,0.9930180688599246,0.8146041128982038,0.8348795596456882,0.7276883676254239,0.7502267062377712,brain_stroke_bleeding,segmentation
28,0.005798111184117776,0.006453791829808872,0.9921158567183564,0.9931714235238693,0.8122546267242431,0.8385521902203619,0.7251567527939323,0.7544554313743571,brain_stroke_bleeding,segmentation
29,0.005670595998577868,0.0063113177841033164,0.9923144900228275,0.9928733020571608,0.8157113998593852,0.8363788904614223,0.7288966043330776,0.7519028026277114,brain_stroke_bleeding,segmentation
30,0.005606161894966433,0.00621190113038873,0.9922794370867444,0.9932192701790201,0.8155736794735143,0.8396379065473982,0.7287405959916939,0.7557148530127865,brain_stroke_bleeding,segmentation
31,0.0055685939469025175,0.006141557990007065,0.9922179407076511,0.9935370210427136,0.8148553943430883,0.8395398636450635,0.727956070713504,0.7556695908315288,brain_stroke_bleeding,segmentation
32,0.005497449272375563,0.006184744400594701,0.9925804618624056,0.9920954872016332,0.8212348627889146,0.8257742571705259,0.7349367282792912,0.7398145138532646,brain_stroke_bleeding,segmentation
33,0.005456375591550726,0.006037428975105286,0.9924058121457808,0.9935443820665829,0.8188815644546588,0.8429278301230102,0.7323375852638195,0.7595937108626827,brain_stroke_bleeding,segmentation
34,0.005419991028398951,0.005941246098010384,0.9924291807698362,0.9934904012248744,0.8188250561226234,0.8450202682461465,0.7322817268140326,0.7620253894469822,brain_stroke_bleeding,segmentation
35,0.005342464828371101,0.005923948096270538,0.9927664884091625,0.9938878965138191,0.8268396875917756,0.848594604338929,0.7411452351944445,0.7663165270930203,brain_stroke_bleeding,segmentation
36,0.0053342442856327416,0.005952638447584219,0.9927320504368703,0.9937603054334171,0.8248491016575621,0.8474501498240389,0.7389358128749638,0.7649377424573076,brain_stroke_bleeding,segmentation
37,0.005344656725374217,0.005824531367675743,0.9925878414278967,0.9941038198806532,0.8200183641723433,0.853664507004162,0.7336133921000653,0.7724090198643865,brain_stroke_bleeding,segmentation
38,0.005312883715035033,0.005865552018036195,0.9925158906643576,0.9937075514290201,0.8208897630368185,0.845915991083819,0.7345456017114409,0.7631210400371538,brain_stroke_bleeding,segmentation
39,0.0052566319253642855,0.005908829108554514,0.9928470486657746,0.9939001648869347,0.8265938571413597,0.8445469526905359,0.7408906716279463,0.7615569329883507,brain_stroke_bleeding,segmentation
40,0.005247542648681765,0.005741668481323587,0.9927452721583753,0.9937603054334171,0.8247583580091401,0.8480037604732767,0.7388387351823308,0.7655914518324074,brain_stroke_bleeding,segmentation
41,0.005024030297919545,0.004744895776013034,0.992735125255825,0.9929984394629398,0.8229760491098632,0.8398518500546486,0.7368766471358535,0.7559144989198525,brain_stroke_bleeding,segmentation
42,0.004528341406688882,0.004877135681746593,0.9931287020820214,0.9936057239321608,0.8276222105954905,0.847031131932362,0.7420951251086452,0.7644117761554294,brain_stroke_bleeding,segmentation
43,0.004369327240161391,0.004758582230488859,0.9932812131021725,0.9939553725659548,0.8309934269347512,0.8474034816770392,0.7458951397624987,0.7649229089593201,brain_stroke_bleeding,segmentation
44,0.004354853952486509,0.004712958881004372,0.9932144895308564,0.9942215962625628,0.8294623884008798,0.8506697418343053,0.744165324378345,0.7688488750636804,brain_stroke_bleeding,segmentation
45,0.004325302200443498,0.004393193253021144,0.9932701437539357,0.9943074748743719,0.8296978075165746,0.8565448336650052,0.7444408591714187,0.7759279823490222,brain_stroke_bleeding,segmentation
46,0.00425928204275799,0.004381356077577601,0.9933605434312027,0.9944350659547738,0.8324606681511656,0.8546134758266317,0.7475634880071208,0.7736178150498885,brain_stroke_bleeding,segmentation
47,0.004218798299655506,0.004596936979785037,0.9934423336153967,0.9941332639761307,0.8325688491401665,0.8505423985670383,0.7477034106214513,0.7686792561835512,brain_stroke_bleeding,segmentation
48,0.004252027851583375,0.004393985934892491,0.993214182048961,0.9944227975816583,0.8285744860294484,0.8535564326604597,0.7431741945753945,0.7723430917646599,brain_stroke_bleeding,segmentation
49,0.004223430730984253,0.004290862299090055,0.9933829896095718,0.9945602033605527,0.8334045513438015,0.8574525997206757,0.7486342510202064,0.7770804146976243,brain_stroke_bleeding,segmentation
50,0.0042474275966285155,0.0043650296090835304,0.9933153435925692,0.9943884461369347,0.8308080654134993,0.8529146795800895,0.7456946096922199,0.7715657877588796,brain_stroke_bleeding,segmentation
51,0.004109683195574758,0.004246756284680199,0.9934952205014169,0.9944350659547738,0.836297231857106,0.8562042808593415,0.7519438593391893,0.7755404071237186,brain_stroke_bleeding,segmentation
52,0.004161691063222116,0.004300237338447092,0.9933780698992444,0.9941590275596733,0.8323956990223074,0.852311648665989,0.7474940753331987,0.7707969668521881,brain_stroke_bleeding,segmentation
53,0.004191228045474372,0.004183577607624495,0.9930410697418136,0.9942473598461056,0.8256952023697558,0.8555114207123408,0.7399394906608994,0.7746645535971156,brain_stroke_bleeding,segmentation
