epoch,train_loss,train_accuracy,train_mean_iou,train_mean_dice,train_iou_Class_0,train_dice_Class_0,train_iou_Class_1,train_dice_Class_1,val_loss,val_accuracy,val_mean_iou,val_mean_dice,val_iou_Class_0,val_dice_Class_0,val_iou_Class_1,val_dice_Class_1,dataset,task
1,0.011938441029392687,0.9901371317698543,0.49623824334903366,0.49985612774252536,0.990136903645191,0.9950440111246903,0.002339583052876276,0.004668244360360368,0.009381524490234548,0.9951474756226504,0.4975737378113161,0.4987839183727875,0.9951474756226322,0.997567836745575,0.0,0.0,brain_stroke,segmentation
2,0.008723123584474836,0.9950192100123355,0.4975096050061655,0.4987516937273907,0.995019210012331,0.9975033874547814,0.0,0.0,0.008428188979177546,0.9951474756226504,0.4975737378113161,0.4987839183727875,0.9951474756226322,0.997567836745575,0.0,0.0,brain_stroke,segmentation
3,0.00826577405844416,0.995020724418468,0.4975103622092317,0.4987520742214375,0.9950207244184635,0.997504148442875,0.0,0.0,0.008233426477676047,0.9951474756226504,0.4975737378113161,0.4987839183727875,0.9951474756226322,0.997567836745575,0.0,0.0,brain_stroke,segmentation
4,0.008067431258863972,0.9939918001791588,0.540406030593768,0.5783801222678271,0.9939883660191176,0.9969851208345392,0.08682369516841842,0.1597751237011149,0.007946526119135376,0.9924729426104323,0.5981301401101287,0.6674059811650608,0.9924584122957585,0.996214933442173,0.20380186792449895,0.33859702888794846,brain_stroke,segmentation
5,0.007950964502822188,0.9932144050311326,0.5773093055981942,0.6372754981649963,0.9932055307309733,0.9965911848204962,0.16141308046541514,0.27795981150949634,0.007857742222180044,0.9950536742246241,0.6173593180599249,0.6920938697596677,0.9950459498902778,0.9975168240561102,0.23967268622957202,0.38667091546322513,brain_stroke,segmentation
6,0.007820427398148335,0.9933198168761748,0.595937537021984,0.663991443069664,0.9933087421201873,0.9966431402529768,0.19856633192378073,0.3313397458863511,0.0077232809331184045,0.9948113692434211,0.6347090703201923,0.7141474938888402,0.9948011570395804,0.9973938039177122,0.2746169836008042,0.4309011838599684,brain_stroke,segmentation
7,0.0077643102160970074,0.9932470335996241,0.599319687484959,0.668705790126245,0.9932352246603487,0.9966061329561323,0.20540415030956935,0.34080544729635764,0.007647260642589483,0.9948974609375,0.6456537231462608,0.727363959950832,0.9948864682635057,0.9974366803234944,0.29642097802901585,0.45729123957816964,brain_stroke,segmentation
8,0.00770768436946367,0.9933429918791118,0.6059327975547036,0.6776694852025877,0.9933305759582162,0.9966541304677586,0.21853501915119108,0.35868483993741684,0.007629074033041645,0.9934618039238722,0.6316946939803614,0.7109194520928236,0.9934459592492977,0.9967122054549347,0.26994342871142507,0.4251266987307125,brain_stroke,segmentation
9,0.007654806304919093,0.9936567034040179,0.6151432402283987,0.6897646995301465,0.9936442051566383,0.9968119713502931,0.23664227530015924,0.3827174277099999,0.007573297395742029,0.9946806714050752,0.6533405516772862,0.7364759902549333,0.9946678080086846,0.9973267769350332,0.3120132953458879,0.4756252035748333,brain_stroke,segmentation
10,0.007625918908226759,0.9937437129199953,0.6193065071965931,0.6951388473150691,0.9937309937884696,0.9968556408908417,0.24488202060471648,0.3934220537392966,0.007543758286121196,0.9949769443139098,0.6567783415538082,0.7403531507860737,0.994965119783543,0.997476206392519,0.3185915633240734,0.4832300951796283,brain_stroke,segmentation
11,0.007590905478910396,0.9938242517915884,0.6243287762509311,0.7015376917280279,0.9938111801522118,0.996895984981228,0.2548463723496504,0.4061793984748278,0.00752709965060528,0.9936237077067669,0.6521037443109128,0.7353881502362166,0.9936053372311826,0.9967924128966775,0.310602151390643,0.47398388757575566,brain_stroke,segmentation
12,0.007554795469780613,0.9939047447720865,0.6296783867514155,0.7082450896652277,0.9938912881085015,0.9969362863823467,0.2654654853943295,0.4195538929481088,0.007568690853011339,0.9957356158952068,0.6490081428649843,0.7310506746250652,0.9957277225401028,0.9978592884131209,0.3022885631898658,0.46424206083700964,brain_stroke,segmentation
13,0.007544245245985519,0.9940645375646147,0.6328594723967678,0.7121393747126913,0.9940513677443421,0.9970168109247923,0.27166757704919353,0.4272619385005902,0.007457755506038666,0.9953591253524436,0.6771775974537657,0.7630032925954014,0.9953470310222289,0.9976680903595062,0.35900816388530243,0.5283384948312967,brain_stroke,segmentation
14,0.00753069500389852,0.9940975332618656,0.6330536761846652,0.7123673446615381,0.9940844861707071,0.9970334688072057,0.2720228661986235,0.4277012205158704,0.007437084111055934,0.9950443124412593,0.6750322209543188,0.76076556112968,0.9950307565924617,0.9975091895745878,0.355033685316176,0.5240219326847723,brain_stroke,segmentation
15,0.007520994910956326,0.9941286015331297,0.6357845054176806,0.7157172418587097,0.9941153340617943,0.997048984159698,0.27745367677356686,0.4343854995577213,0.007442669906562433,0.9954294305098684,0.678122100947534,0.7640042864736316,0.9954176071071352,0.9977035419169683,0.36082659478793266,0.530305031030295,brain_stroke,segmentation
16,0.007501716388011337,0.994112493758811,0.6369510339542981,0.7171501694896782,0.9940989960984509,0.9970407668259728,0.2798030718101452,0.43725957215338374,0.007431052569159888,0.9956928453947368,0.6835291889842292,0.7697237861333626,0.9956818575815202,0.9978362571157945,0.37137652038693836,0.5416113151509306,brain_stroke,segmentation
17,0.0074817816005613574,0.9941510881696428,0.6393127442278433,0.720009762194375,0.9941374546372788,0.9970601096985126,0.2844880338184079,0.4429594146902374,0.007415229743136499,0.9949314203477444,0.676903111167965,0.7628308539664861,0.9949169980687282,0.9974520233492457,0.3588892242672017,0.5282096845837265,brain_stroke,segmentation
18,0.0074679517908427945,0.9944294635514568,0.6438468823208613,0.725370800201406,0.9944165564606627,0.9972004627011092,0.2932772081810599,0.4535411377017028,0.0073920240415666335,0.9955874794407895,0.6855979405490605,0.7719466175419332,0.9955757351212791,0.9977829631815741,0.37562014597684196,0.5461102719022921,brain_stroke,segmentation
19,0.007456295158630027,0.9942860997709116,0.6430566123273364,0.7244747370245147,0.994272613127271,0.9971280822716873,0.29184061152740165,0.4518213917773421,0.007406348046055414,0.9944315745418233,0.6662853840957462,0.7513024730582274,0.9944156868115958,0.997200025438362,0.3381550813798967,0.5054049206780927,brain_stroke,segmentation
20,0.0074792602736698955,0.9939882665648496,0.6369545513431153,0.7171992691983875,0.9939741833776469,0.9969779866396536,0.27993491930858366,0.4374205517571214,0.007391455847966044,0.9942593911536655,0.6710751708215686,0.7566662089287395,0.9942417549638511,0.9971125642004957,0.3479085866792862,0.5162198536569834,brain_stroke,segmentation
21,0.007434013945267613,0.9943793045847039,0.6490906138245695,0.7316078508547398,0.9943654837980989,0.9971747825322516,0.30381574385104,0.46604091917722806,0.007395353375520921,0.995197772262688,0.6714445167222451,0.7567905343402748,0.995185447946928,0.9975869150118218,0.3477035854975622,0.5159941536687277,brain_stroke,segmentation
