epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,dataset,task
1,0.017749770324762777,0.023012676338354746,0.7585311602948852,0.2962544759114583,0.5768411942197642,0.2860118468816554,0.4607757704202443,0.1697812093188124,cvc_clinicdb,segmentation
2,0.015151551160533643,0.02279530614614487,0.8641803399008351,0.48767293294270836,0.6901277662314959,0.4294566771784286,0.5764203087212814,0.29082670516340775,cvc_clinicdb,segmentation
3,0.013485908259429613,0.01637305791179339,0.8967575678496869,0.8657999674479167,0.7262027999519474,0.6541469052754452,0.6166355808005588,0.5486310931864086,cvc_clinicdb,segmentation
4,0.012191461620848462,0.014244466523329417,0.9191252324177975,0.8988199869791667,0.7560862545902851,0.7272494875738902,0.6502410922936875,0.6181453067812634,cvc_clinicdb,segmentation
5,0.011399477471389452,0.01304221972823143,0.9208530752544363,0.9354085286458333,0.7596941521071826,0.7551513710653045,0.6541478693351183,0.6537208678153937,cvc_clinicdb,segmentation
6,0.010640653165247843,0.011421299229065577,0.9264316120824635,0.9402058919270834,0.774631978157677,0.8074121724986445,0.6702169362959315,0.7077329129068999,cvc_clinicdb,segmentation
7,0.01000492109884051,0.010231993099053701,0.9278006344598121,0.9405924479166666,0.7787305408339692,0.8058897266625877,0.674675864180553,0.7061738571030547,cvc_clinicdb,segmentation
8,0.009496299483830845,0.009197661528984706,0.9288979930519311,0.9417277018229167,0.7842830453364354,0.8195131474351528,0.6805925298788609,0.7214648526531823,cvc_clinicdb,segmentation
9,0.00901747857354628,0.008666321635246277,0.9326859954005741,0.94097900390625,0.7925491956950885,0.8235389625505265,0.6900826865747471,0.7258550949001662,cvc_clinicdb,segmentation
10,0.008564870579008767,0.008089898154139519,0.9334714248434238,0.9484720865885417,0.7991248078847122,0.8341500408800532,0.6972129689949745,0.7397554108718989,cvc_clinicdb,segmentation
11,0.008059508087490695,0.007770272841056188,0.9368409732189458,0.954150390625,0.8090733351998844,0.8557508412904694,0.7087543594430751,0.7670272279341339,cvc_clinicdb,segmentation
12,0.007669571981549512,0.008145618190368017,0.9411534446764092,0.93349609375,0.8193796000720512,0.8287614058973799,0.7211844682798829,0.7302144610469392,cvc_clinicdb,segmentation
