epoch,train_f1_none,train_recall_pituitary,train_accuracy,train_precision_meningioma,train_f1_pituitary,train_recall_meningioma,train_recall_none,train_f1_score,train_recall_glioma,train_precision_glioma,train_precision,train_loss,train_recall,train_f1_glioma,train_precision_pituitary,train_precision_none,train_f1_meningioma,val_f1_none,val_recall_pituitary,val_accuracy,val_precision_meningioma,val_f1_pituitary,val_recall_meningioma,val_recall_none,val_f1_score,val_recall_glioma,val_precision_glioma,val_precision,val_loss,val_recall,val_f1_glioma,val_precision_pituitary,val_precision_none,val_f1_meningioma,dataset,task
1,0.8048780487804879,0.8063616071428571,0.748646938918957,0.6906923950056754,0.7857531266992931,0.6736783836147247,0.8022690437601296,0.7482011358464243,0.733669443226655,0.7472650145121679,0.7481109431143714,0.04136542595072993,0.748646938918957,0.7404048224753899,0.7661717921527041,0.8075040783034257,0.6820793050301247,0.958570268074736,0.908994708994709,0.8852965982569581,0.8984700973574409,0.9221685453569511,0.7282976324689966,0.944,0.8840864945140525,0.9581818181818181,0.802130898021309,0.8917767837775729,0.02060363491557775,0.8852965982569581,0.8732394366197183,0.9357298474945533,0.9735973597359736,0.8044831880448319,brain_mri_nd5,classification
2,0.9017622037674701,0.9048549107142857,0.8655373585436142,0.8291157236280922,0.8883714559649363,0.8070855244948796,0.9019448946515397,0.865267886517663,0.8612450679526523,0.8684792219274978,0.8652320371330615,0.024662583592710653,0.8655373585436142,0.8648470173893903,0.8724778046811945,0.9015795868772782,0.8179523141654979,0.9759615384615384,0.9015873015873016,0.9215631149845376,0.7898617511520737,0.9383259911894273,0.9661781285231116,0.9744,0.9232522469212623,0.8727272727272727,0.9815950920245399,0.9321627197551026,0.014257237257575734,0.9215631149845376,0.9239653512993262,0.9781859931113662,0.9775280898876404,0.8691683569979716,brain_mri_nd5,classification
3,0.9278933548778024,0.9243861607142857,0.8943558023476489,0.8646679742224713,0.9160790819853449,0.8541378355936895,0.9307131280388979,0.8942243881256738,0.8829460762823323,0.8899690676093681,0.8941585098391736,0.01929775293747049,0.8943558023476489,0.886443661971831,0.9079199780761853,0.9250906161900926,0.859370648844333,0.9817893903404592,0.9724867724867725,0.9592353106550464,0.9293598233995585,0.9663512092534174,0.9492671927846674,0.992,0.9592180494059848,0.9372727272727273,0.9763257575757576,0.9595568616465643,0.007966228771906598,0.9592353106550464,0.9564007421150278,0.9602925809822361,0.9717868338557993,0.9392080312325711,brain_mri_nd5,classification
4,0.9421319796954315,0.9397321428571429,0.9082730020383777,0.8808114961961115,0.9319313779745434,0.8652089676169389,0.940032414910859,0.9081616186943454,0.9004822446295484,0.8975311339305222,0.9081211833679129,0.016849860562327255,0.9082730020383777,0.89900426742532,0.9242590559824369,0.9442409442409443,0.8729405194079866,0.9494949494949495,0.9195767195767196,0.9302783244307,0.8564206268958544,0.9414951245937161,0.9549041713641488,0.9776,0.9306756500297044,0.8927272727272727,0.9771144278606965,0.9341463907150649,0.013208504586611734,0.9302783244307,0.9330166270783848,0.9644839067702553,0.9229607250755287,0.9029850746268657,brain_mri_nd5,classification
5,0.8817117480823576,0.8903459821428571,0.8441695367962325,0.8279346210995542,0.8762872442674722,0.7711043454193192,0.8849270664505673,0.8436623225234454,0.8437088996054362,0.822963438101347,0.8438649816233569,0.0273724762686715,0.8441695367962325,0.8332070570408053,0.8626655852933225,0.8785197103781175,0.7985096016050445,0.8130774697938877,0.8973544973544973,0.6901883609783526,0.9206349206349206,0.8317802844531633,0.06538895152198422,0.9152,0.6166194029207074,0.8881818181818182,0.603831891223733,0.750768611372754,0.04955985035358737,0.6901883609783526,0.7189109639440765,0.7751371115173674,0.731457800511509,0.12210526315789473,brain_mri_nd5,classification
6,0.8425632911392406,0.8758370535714286,0.742039783510227,0.6244497121571283,0.850216684723727,0.5103791862717962,0.8630470016207455,0.7367591665970645,0.7549320473476545,0.7048710601719198,0.7354725306916585,0.04130093504819338,0.742039783510227,0.729043183742591,0.8260526315789474,0.8230293663060279,0.5616813889734998,0.9494470774091627,0.9756613756613757,0.9024458813606973,0.8373424971363116,0.9417773237997957,0.8241262683201804,0.9616,0.901775824423501,0.8690909090909091,0.9281553398058252,0.9023898501645615,0.015953486524511833,0.9024458813606973,0.8976525821596244,0.910167818361303,0.9375975039001561,0.8306818181818182,brain_mri_nd5,classification
7,0.9144816458249294,0.9333147321428571,0.8757292472060167,0.8239258635214828,0.9134352812670672,0.8120675339053418,0.9185575364667747,0.8753604922476178,0.8577378342832092,0.8821009918845807,0.8753380956515041,0.023474770505616256,0.8757292472060167,0.8697488330740164,0.8943850267379679,0.9104417670682731,0.8179537217730695,0.9715639810426541,0.9608465608465608,0.9454596570143379,0.9233449477351916,0.956292785676672,0.8962795941375423,0.984,0.9452556449870314,0.95,0.9491371480472298,0.9452180994424113,0.010591689373125915,0.9454596570143379,0.9495683780099955,0.9517819706498952,0.9594383775351014,0.9096109839816934,brain_mri_nd5,classification
8,0.9363250454821104,0.9386160714285714,0.9082730020383777,0.8751733703190014,0.9328896283971159,0.8732355383337946,0.9384116693679092,0.908201702541933,0.8958790004384042,0.9052048726467331,0.9081655342341043,0.017744490986016586,0.9082730020383777,0.9005177922220998,0.9272326350606395,0.9342476805163372,0.8742033804377944,0.9802371541501976,0.9915343915343915,0.9482710149001968,0.9809160305343512,0.9585677749360614,0.8692220969560316,0.992,0.9477536717802449,0.95,0.9322033898305084,0.9495819560583382,0.009416299463452136,0.9482710149001968,0.9410175596578118,0.9277227722772278,0.96875,0.921697549312612,brain_mri_nd5,classification
9,0.9578033515041389,0.9514508928571429,0.9315386237435861,0.9014628760695557,0.9480122324159022,0.9039579296983117,0.9611021069692058,0.931509800035871,0.921744848750548,0.932579285872699,0.931512304409449,0.013695725490302246,0.9315386237435861,0.9271304156101863,0.9445983379501385,0.9545271629778672,0.9027086788280818,0.9668769716088328,0.9682539682539683,0.9673882485240372,0.9618834080717489,0.9703075291622482,0.9673055242390078,0.9808,0.9673933071101987,0.9590909090909091,0.9759481961147086,0.9675183838453727,0.006648852070309128,0.9673882485240372,0.9674461256304447,0.9723698193411264,0.9533437013996889,0.9645868465430016,brain_mri_nd5,classification
10,0.9581225976127857,0.9564732142857143,0.9359668236451817,0.9137645107794361,0.9530164025576869,0.9150290617215611,0.9594813614262561,0.9359383850272329,0.9237176676896098,0.9314765694076039,0.9359275122422378,0.0124655504653497,0.9359668236451817,0.9275808936825886,0.949584487534626,0.9567676767676768,0.9143963490526898,0.9904153354632588,0.9894179894179894,0.972448692718583,0.9389978213507625,0.9816272965879265,0.971815107102593,0.992,0.9724724721661219,0.9472727272727273,0.9904942965779467,0.972968160619205,0.005075498589771803,0.972448692718583,0.9684014869888475,0.9739583333333334,0.988835725677831,0.9551246537396122,brain_mri_nd5,classification
11,0.9597736001617142,0.9545200892857143,0.9377943347156814,0.9186563020544142,0.9531903037057676,0.9158593966233047,0.9619124797406807,0.9377697469004962,0.9289785181937746,0.9310193321616872,0.9377495384928426,0.012118427376524363,0.9377943347156814,0.9299978055738425,0.9518642181413467,0.9576442113755547,0.9172557172557173,0.9854604200323102,0.9947089947089947,0.9637334832724206,0.9793187347931873,0.9685729005667182,0.9075535512965051,0.976,0.9635363169457924,0.9754545454545455,0.9529307282415631,0.9644892496872262,0.006768158345245242,0.9637334832724206,0.9640610961365679,0.9437751004016064,0.9951060358890701,0.9420713867758923,brain_mri_nd5,classification
12,0.9604997984683595,0.9609375,0.9426442679412385,0.9225041367898511,0.9606694560669456,0.9258234154442292,0.9655591572123177,0.9426217983439299,0.9291977202981149,0.9376244193762442,0.942622226858666,0.010798038625017431,0.9426442679412385,0.9333920510844435,0.9604015616285555,0.9554931836407378,0.9241607956900124,0.9333333333333333,0.9904761904761905,0.957829631712117,0.8937048503611971,0.9852631578947368,0.9763246899661782,0.896,0.9579658470237392,0.95,0.9877126654064272,0.9598242168318656,0.009085737708285723,0.957829631712117,0.9684893419833179,0.9801047120418848,0.9739130434782609,0.9331896551724138,brain_mri_nd5,classification
13,0.9529957635666734,0.9606584821428571,0.942222534617277,0.9320659770757618,0.9591865162278869,0.9227788541378356,0.9570502431118314,0.9421903276043186,0.9351161771153003,0.9342969776609724,0.9421771133993073,0.011376144502142006,0.942222534617277,0.9347063978965819,0.9577190542420028,0.9489754921655283,0.9273991655076496,0.9849802371541502,0.9693121693121693,0.9791959516446443,0.9695259593679458,0.9838882921589689,0.9684329199549042,0.9968,0.9791989565931285,0.9863636363636363,0.973967684021544,0.9793932756626149,0.005043543634859236,0.9791959516446443,0.980126467931346,0.9989094874591058,0.9734375,0.9689791314156796,brain_mri_nd5,classification
14,0.9660056657223796,0.9684709821428571,0.9485485344766992,0.9209659714599341,0.9659106720467511,0.9288679767506227,0.9671799027552674,0.9485504648085826,0.9384042086804033,0.9500665778961385,0.9485879569960342,0.009959520628984012,0.9485485344766992,0.9441993824437582,0.9633638634471274,0.9648342764753436,0.9249000964585917,0.9903691813804173,0.9894179894179894,0.9732921000843407,0.9398496240601504,0.9811122770199371,0.9864712514092446,0.9872,0.9732888120675802,0.9409090909090909,0.9913793103448276,0.9740148932919555,0.005453477076094808,0.9732921000843407,0.9654850746268657,0.9729448491155047,0.9935587761674718,0.9625962596259626,brain_mri_nd5,classification
15,0.966619461865264,0.9684709821428571,0.953679623251564,0.9359469906129211,0.9682008368200837,0.9382784389703848,0.9679902755267423,0.9536773108507423,0.9465146865409908,0.9502640845070423,0.9536788220457241,0.009543569617595548,0.953679623251564,0.9483856797715792,0.967930842163971,0.9652525252525253,0.9371112646855563,0.9943955164131305,0.9978835978835979,0.9836941242620185,0.9676339285714286,0.9915878023133544,0.9774520856820744,0.9936,0.9836855507611089,0.9709090909090909,0.9888888888888889,0.983761544368195,0.0034200509800235298,0.9836941242620185,0.9798165137614679,0.9853709508881923,0.9951923076923077,0.9725182277061133,brain_mri_nd5,classification
16,0.9671399594320487,0.9670758928571429,0.9518521121810641,0.9366703539823009,0.9646534929028667,0.937448104068641,0.965964343598055,0.9518453006569846,0.9436650591845682,0.9467780954475479,0.9518437614004011,0.009403748865873121,0.9518521121810641,0.945219014161818,0.9622431982232094,0.9683184402924452,0.9370590676442108,0.97514033680834,0.9936507936507937,0.9749789148158561,0.9871794871794872,0.9801670146137788,0.9549041713641488,0.9728,0.9749439507656923,0.9763636363636363,0.9710669077757685,0.9751451021016239,0.004518441848085326,0.9749789148158561,0.9737080689029919,0.9670442842430484,0.977491961414791,0.9707736389684813,brain_mri_nd5,classification
17,0.9732901659247268,0.9712611607142857,0.9593027342377171,0.9485968324534593,0.9688282772056777,0.9449211181843343,0.9744732576985413,0.9592857696863349,0.9530907496711969,0.9551845342706503,0.9592749142765236,0.008338449111541127,0.9593027342377171,0.9541364933070002,0.9664075513603554,0.9721099434114794,0.9467554076539102,0.9927826784282278,0.9862433862433863,0.9856620747821198,0.9764837625979843,0.9888594164456234,0.9830890642615558,0.9904,0.9856728550716619,0.9845454545454545,0.9827586206896551,0.9856954055491053,0.0027228513740276458,0.9856620747821198,0.9836512261580381,0.9914893617021276,0.9951768488745981,0.9797752808988764,brain_mri_nd5,classification
18,0.9734656674093579,0.9760044642857143,0.965066422998524,0.9560867148415787,0.9758683219416934,0.9521173539994464,0.9736628849270664,0.9650619566649317,0.9620780359491451,0.959344262295082,0.9650608578453254,0.007264137286182912,0.965066422998524,0.9607092043340265,0.9757322175732217,0.9732685297691372,0.9540979059769796,0.9896249002394254,0.9841269841269841,0.9870677537250492,0.9832026875699889,0.9909429941395844,0.9898534385569335,0.992,0.9870766444499215,0.9845454545454545,0.9809782608695652,0.9871203796446173,0.003184991312025511,0.9870677537250492,0.9827586206896551,0.9978540772532188,0.9872611464968153,0.9865168539325843,brain_mri_nd5,classification
