epoch,train_loss,train_accuracy,train_mean_iou,train_mean_dice,train_iou_Class_0,train_dice_Class_0,train_iou_Class_1,train_dice_Class_1,val_loss,val_accuracy,val_mean_iou,val_mean_dice,val_iou_Class_0,val_dice_Class_0,val_iou_Class_1,val_dice_Class_1,dataset,task
1,0.01860735610127449,0.6276171875,0.4106914205988305,0.5624054767900952,0.5764569981450633,0.7313323469315699,0.24492584305259768,0.3934786066486205,0.02054658591747284,0.67015869140625,0.4602815183733647,0.6150982986819953,0.6137828713218547,0.7606759028481982,0.30678016542487463,0.4695206945157924,kvasir_seg,segmentation
2,0.016858427599072457,0.7917239379882812,0.5593065640255594,0.694679410976986,0.7649324982468155,0.8668121857426915,0.3536806298043033,0.5225466362112807,0.017501158565282823,0.87155029296875,0.6773778539835871,0.7945362457333064,0.8524146404406197,0.920328118587815,0.5023410675265546,0.6687443728787977,kvasir_seg,segmentation
3,0.015195891372859477,0.8876351928710937,0.6623721519836666,0.7766326756866009,0.8763395537977408,0.9340948465580399,0.4484047501695924,0.6191705048151618,0.01582530528306961,0.916986083984375,0.7486094101144753,0.8469349744965848,0.9056400878036424,0.9504838753129335,0.5915787324253085,0.743386073680236,kvasir_seg,segmentation
4,0.013923540785908699,0.9012643432617188,0.6858526626280925,0.795764080334828,0.8913474797176871,0.942552851103526,0.48035784553849803,0.64897530956613,0.014206700176000595,0.923533935546875,0.7585313806525033,0.8537910229577983,0.9134570483576011,0.9547714166269464,0.6036057129474054,0.7528106292886502,kvasir_seg,segmentation
5,0.012894978299736976,0.9091574096679688,0.7043791906715913,0.810934405019861,0.8997111337813477,0.9472083600315441,0.509047247561835,0.674660450008178,0.012961121499538422,0.92650146484375,0.7673976520518655,0.8602734156208869,0.9165719828182186,0.9564701884772913,0.6182233212855125,0.7640766427644825,kvasir_seg,segmentation
6,0.0119146478921175,0.9147787475585938,0.7227317901062292,0.8258668434135095,0.9052982555735776,0.9502955801542405,0.5401653246388809,0.7014381066727785,0.010588047504425048,0.92804443359375,0.7739231056184803,0.8650681805274956,0.9180053999089001,0.9572500681723867,0.6298408113280606,0.7728862928826046,kvasir_seg,segmentation
7,0.011003540642559529,0.9155538940429687,0.7263386547096158,0.8287968640167722,0.905978207132446,0.9506700588098486,0.5466991022867855,0.7069236692236959,0.009897145032882691,0.929306640625,0.7823111202645332,0.8712372352450806,0.9188479070880676,0.9577079076397025,0.6457743334409987,0.7847665628504588,kvasir_seg,segmentation
8,0.010109836123883725,0.9197030639648438,0.7350674463546423,0.8353899471681341,0.9105813704532864,0.9531982092312045,0.5595535222559983,0.7175816851050636,0.008945547193288803,0.93618896484375,0.7971195515841745,0.8812811467060211,0.9268174538285351,0.9620189520153801,0.6674216493398138,0.800543341396662,kvasir_seg,segmentation
9,0.009364762045443058,0.9221646118164063,0.7431743941435582,0.8416640297017965,0.913075262792476,0.9545628241093653,0.5732735254946405,0.7287652352942278,0.008931273370981216,0.93202880859375,0.7892927886980916,0.8760695946635867,0.9218693435182619,0.9593465306342269,0.6567162338779212,0.7927926586929465,kvasir_seg,segmentation
10,0.008770713675767183,0.9234732055664062,0.7458023826044649,0.8435904695837406,0.9145514927071506,0.955368916627034,0.5770532725017791,0.7318120225404473,0.007212067693471908,0.93459228515625,0.7949319492198814,0.8798851407562993,0.9248309531156639,0.9609477150382156,0.6650329453240988,0.798822566474383,kvasir_seg,segmentation
