epoch,train_loss,val_loss,train_accuracy,val_accuracy,dataset,task
1,0.04419735585950748,0.0434125043470397,0.27108057464084945,0.2997502081598668,pmram,classification
2,0.042117794602954235,0.039949190011131674,0.33666458463460336,0.3930058284762698,pmram,classification
3,0.03997757577310372,0.03633327900023385,0.39870914012075787,0.47543713572023316,pmram,classification
4,0.03736902120930936,0.03326149745150272,0.4497189256714553,0.5528726061615321,pmram,classification
5,0.03496912183201663,0.03267465314698358,0.5113470747449511,0.5611990008326395,pmram,classification
6,0.032468722781463885,0.02852735824132343,0.5654799083905893,0.6394671107410491,pmram,classification
7,0.0309342928610815,0.026690055289733023,0.592962731626067,0.6636136552872606,pmram,classification
8,0.02975920735610765,0.024160441560213214,0.6204455548615448,0.7069109075770191,pmram,classification
9,0.028250256057284956,0.022298595217443526,0.6389756402248594,0.7468776019983348,pmram,classification
10,0.026279032311041405,0.022233465926831807,0.668540495523631,0.7310574521232306,pmram,classification
11,0.025375834144008128,0.020119082347042454,0.6912346450135332,0.7810158201498751,pmram,classification
12,0.02429563492108404,0.01933685744136299,0.6937330834894857,0.7860116569525396,pmram,classification
13,0.0236968824869887,0.018670786652934243,0.7091401207578597,0.7701915070774354,pmram,classification
14,0.02242256311167287,0.017281697180547086,0.7303768478034561,0.8059950041631974,pmram,classification
15,0.02124826121449396,0.01674255386280279,0.7430772433895482,0.813488759367194,pmram,classification
16,0.020819185904704007,0.01920976051184458,0.759525296689569,0.794338051623647,pmram,classification
17,0.01969738316714652,0.01583360134314538,0.7711846762440142,0.832639467110741,pmram,classification
18,0.0187433009008157,0.013275627788159373,0.7770143660212367,0.8642797668609492,pmram,classification
19,0.019074657072927614,0.012885877011122057,0.7855506974807412,0.86511240632806,pmram,classification
20,0.018101617375897935,0.012739420383796406,0.7965854674161982,0.8784346378018318,pmram,classification
21,0.017394783281297108,0.011208300549322918,0.8017905475744327,0.8850957535387177,pmram,classification
22,0.01680323767607445,0.0111305634246877,0.817405788049136,0.8800999167360533,pmram,classification
23,0.01534948947713595,0.010551254659717426,0.8267749323339579,0.8950874271440467,pmram,classification
24,0.015558184617240305,0.010708307396065285,0.8273995419529461,0.8950874271440467,pmram,classification
25,0.01583194044538272,0.010029025927967672,0.8355194669997918,0.9000832639467111,pmram,classification
26,0.014383541332069547,0.010012348817597817,0.8407245471580262,0.8942547876769359,pmram,classification
27,0.015263813577069607,0.009812325927786386,0.8355194669997918,0.8967527060782681,pmram,classification
28,0.01505150620531048,0.008848258919958071,0.8457214241099313,0.9150707743547044,pmram,classification
29,0.014310594371227382,0.009413514159104906,0.8503018946491776,0.8992506244796004,pmram,classification
30,0.013806148181476867,0.008904179987760507,0.8492608786175307,0.9059117402164862,pmram,classification
31,0.014166728661081679,0.009782027158510873,0.8492608786175307,0.906744379683597,pmram,classification
32,0.013543670388551744,0.008712340775973394,0.8542577555694357,0.9159034138218152,pmram,classification
33,0.013115828006361366,0.00836591470946281,0.8563397876327296,0.9242298084929226,pmram,classification
34,0.01287555957979742,0.007981366764049943,0.8621694774099521,0.9233971690258118,pmram,classification
35,0.01307211087851035,0.007767884180160684,0.8652925255048928,0.9217318900915903,pmram,classification
36,0.012804504244272446,0.007136818849722809,0.8619612742036228,0.9317235636969192,pmram,classification
37,0.012242328247601058,0.007905073023457809,0.8673745575681866,0.9233971690258118,pmram,classification
38,0.012184782739780655,0.0072912495400288225,0.8679991671871747,0.9333888426311407,pmram,classification
39,0.011917169098615298,0.006925529608817819,0.8696647928378097,0.9350541215653622,pmram,classification
40,0.011378056703819079,0.007529707009796298,0.8773683114719967,0.9242298084929226,pmram,classification
41,0.011484757270536,0.0067362916422426256,0.8782011242973142,0.9408825978351374,pmram,classification
42,0.011381420685944397,0.006184963604046046,0.8757026858213617,0.9425478767693589,pmram,classification
43,0.011220395565032959,0.005883045935015397,0.8773683114719967,0.9458784346378019,pmram,classification
