epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_precision_Cancer,train_recall_Cancer,train_f1_Cancer,train_precision_NonCancer,train_recall_NonCancer,train_f1_NonCancer,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_precision_Cancer,val_recall_Cancer,val_f1_Cancer,val_precision_NonCancer,val_recall_NonCancer,val_f1_NonCancer,dataset,task
1,0.014395331751380191,0.8137583892617449,0.7832392149988313,0.8137583892617449,0.7930841236376323,0.43333333333333335,0.2524271844660194,0.31901840490797545,0.8563432835820896,0.9310344827586207,0.892128279883382,0.006121518202876084,0.9328859060402684,0.9328859060402684,0.9328859060402684,0.9328859060402684,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9606299212598425,0.9606299212598425,0.9606299212598425,breast_cancer,classification
2,0.008243589755772744,0.9093959731543624,0.904943136886807,0.9093959731543624,0.9054254253651074,0.7951807228915663,0.6407766990291263,0.7096774193548387,0.9278752436647173,0.9655172413793104,0.9463220675944334,0.0063831119879380165,0.9463087248322147,0.9494904300273428,0.9463087248322147,0.9411627417160487,1.0,0.6363636363636364,0.7777777777777778,0.9407407407407408,1.0,0.9694656488549618,breast_cancer,classification
3,0.007290435992431321,0.9177852348993288,0.9143281215428866,0.9177852348993288,0.9131239226603693,0.8461538461538461,0.6407766990291263,0.7292817679558011,0.9285714285714286,0.9756592292089249,0.9515331355093967,0.003832275372923621,0.9731543624161074,0.9739740765408064,0.9731543624161074,0.9720201862546174,1.0,0.8181818181818182,0.9,0.9694656488549618,1.0,0.9844961240310077,breast_cancer,classification
4,0.005341582619053806,0.9395973154362416,0.9378991265894051,0.9395973154362416,0.9380923335635499,0.8681318681318682,0.7669902912621359,0.8144329896907216,0.9524752475247524,0.9756592292089249,0.9639278557114228,0.006466044000531203,0.9463087248322147,0.9459113387495586,0.9463087248322147,0.942689454664022,0.9375,0.6818181818181818,0.7894736842105263,0.9473684210526315,0.9921259842519685,0.9692307692307692,breast_cancer,classification
5,0.005879025993831206,0.9395973154362416,0.9382086410012895,0.9395973154362416,0.9386201283356025,0.8526315789473684,0.7864077669902912,0.8181818181818182,0.9560878243512974,0.9716024340770791,0.9637826961770624,0.0039150911952125144,0.9731543624161074,0.9739740765408064,0.9731543624161074,0.9720201862546174,1.0,0.8181818181818182,0.9,0.9694656488549618,1.0,0.9844961240310077,breast_cancer,classification
6,0.005623744638174172,0.9463087248322147,0.9450246633068731,0.9463087248322147,0.9452085839591761,0.8817204301075269,0.7961165048543689,0.8367346938775511,0.9582504970178927,0.9776876267748479,0.9678714859437751,0.0033949784834512928,0.9798657718120806,0.9796510466602749,0.9798657718120806,0.9796711317584628,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.984375,0.9921259842519685,0.9882352941176471,breast_cancer,classification
7,0.00474997708298916,0.9563758389261745,0.9559405665240057,0.9563758389261745,0.9548873288393189,0.9425287356321839,0.7961165048543689,0.8631578947368421,0.9587426326129665,0.9898580121703854,0.9740518962075848,0.0030076223669336147,0.9865771812080537,0.9867852869257583,0.9865771812080537,0.986310023170342,1.0,0.9090909090909091,0.9523809523809523,0.9844961240310077,1.0,0.9921875,breast_cancer,classification
8,0.006303734439831452,0.9345637583892618,0.9331465324384788,0.9345637583892618,0.9336435110526986,0.8333333333333334,0.7766990291262136,0.8040201005025126,0.954,0.9675456389452333,0.9607250755287009,0.004678231107708592,0.9731543624161074,0.9739740765408064,0.9731543624161074,0.9720201862546174,1.0,0.8181818181818182,0.9,0.9694656488549618,1.0,0.9844961240310077,breast_cancer,classification
9,0.005281411964546314,0.9530201342281879,0.9520301873539021,0.9530201342281879,0.9520575109642789,0.9032258064516129,0.8155339805825242,0.8571428571428571,0.9622266401590457,0.9817444219066938,0.9718875502008032,0.002876640947523133,0.9865771812080537,0.9867852869257583,0.9865771812080537,0.986310023170342,1.0,0.9090909090909091,0.9523809523809523,0.9844961240310077,1.0,0.9921875,breast_cancer,classification
10,0.00524005328848858,0.9463087248322147,0.9459255992713365,0.9463087248322147,0.9460998757028013,0.8514851485148515,0.8349514563106796,0.8431372549019608,0.9656565656565657,0.9695740365111561,0.9676113360323887,0.002474370106254648,0.9798657718120806,0.9803304078471865,0.9798657718120806,0.9792466686581576,1.0,0.8636363636363636,0.926829268292683,0.9769230769230769,1.0,0.9883268482490273,breast_cancer,classification
