epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_precision_NPancreas,train_recall_NPancreas,train_f1_NPancreas,train_precision_PPancreas,train_recall_PPancreas,train_f1_PPancreas,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_precision_NPancreas,val_recall_NPancreas,val_f1_NPancreas,val_precision_PPancreas,val_recall_PPancreas,val_f1_PPancreas,dataset,task
1,0.018560268069532784,0.7443181818181818,0.6950516693163752,0.7443181818181818,0.706228595890411,0.4,0.18181818181818182,0.25,0.7853736089030207,0.9165120593692022,0.8458904109589042,0.016591885211792858,0.7727272727272727,0.7347525891829689,0.7727272727272727,0.7381272258119549,0.5,0.225,0.3103448275862069,0.8037974683544303,0.9338235294117647,0.8639455782312925,pancreas,classification
2,0.014096397610211914,0.8053977272727273,0.7908550941780823,0.8053977272727273,0.7939333669213103,0.6166666666666667,0.4484848484848485,0.519298245614035,0.8441780821917808,0.9146567717996289,0.8780053428317008,0.011440397663549944,0.8636363636363636,0.8748881217235648,0.8636363636363636,0.842876335487173,0.9444444444444444,0.425,0.5862068965517241,0.8544303797468354,0.9926470588235294,0.9183673469387755,pancreas,classification
3,0.007693393214140087,0.9005681818181818,0.8980656670208479,0.9005681818181818,0.8985164584503089,0.8231292517006803,0.7333333333333333,0.7756410256410257,0.9210053859964094,0.9517625231910947,0.9361313868613139,0.0020320250663313677,0.9829545454545454,0.9828918040596872,0.9829545454545454,0.9828778816120589,0.9743589743589743,0.95,0.9620253164556962,0.9854014598540146,0.9926470588235294,0.989010989010989,pancreas,classification
4,0.004572192783763801,0.9517045454545454,0.9524774941575327,0.9517045454545454,0.9520005996801705,0.8830409356725146,0.9151515151515152,0.8988095238095238,0.9737335834896811,0.9628942486085343,0.9682835820895522,0.005170162362364036,0.9431818181818182,0.9430970851849062,0.9431818181818182,0.9414915242253372,0.9411764705882353,0.8,0.8648648648648649,0.9436619718309859,0.9852941176470589,0.9640287769784173,pancreas,classification
5,0.004425942175492475,0.9460227272727273,0.945360699806099,0.9460227272727273,0.9454273897058824,0.9096774193548387,0.8545454545454545,0.88125,0.9562841530054644,0.974025974025974,0.9650735294117647,0.0015275163671255789,0.9829545454545454,0.9833224329627207,0.9829545454545454,0.98271546635183,1.0,0.925,0.961038961038961,0.9784172661870504,1.0,0.9890909090909091,pancreas,classification
6,0.00248478919622192,0.9673295454545454,0.9671687081454148,0.9673295454545454,0.9672250146398595,0.9382716049382716,0.9212121212121213,0.9296636085626911,0.9760147601476015,0.9814471243042672,0.9787234042553191,0.0023325901552611454,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.95,0.95,0.95,0.9852941176470589,0.9852941176470589,0.9852941176470589,pancreas,classification
7,0.0027671042824460364,0.9673295454545454,0.9677947372769332,0.9673295454545454,0.9674972353980332,0.9176470588235294,0.9454545454545454,0.9313432835820895,0.9831460674157303,0.974025974025974,0.97856477166822,0.0019903829009060496,0.9772727272727273,0.9779220779220779,0.9772727272727273,0.976839331530407,1.0,0.9,0.9473684210526315,0.9714285714285714,1.0,0.9855072463768116,pancreas,classification
8,0.0023070863747059116,0.9730113636363636,0.9729597165763324,0.9730113636363636,0.9729828537906595,0.9451219512195121,0.9393939393939394,0.9422492401215805,0.9814814814814815,0.9833024118738405,0.9823911028730306,0.00044645084496799177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
9,0.0017860183387793686,0.9829545454545454,0.9829041595318825,0.9829545454545454,0.9829183604336045,0.9693251533742331,0.9575757575757575,0.9634146341463414,0.9870609981515711,0.9907235621521335,0.9888888888888889,0.0012459926312492992,0.9943181818181818,0.9943596549435966,0.9943181818181818,0.9942926272040197,1.0,0.975,0.9873417721518988,0.9927007299270073,1.0,0.9963369963369964,pancreas,classification
10,0.0014242105905643918,0.9801136363636364,0.9802179858160774,0.9801136363636364,0.9801550532986968,0.9520958083832335,0.9636363636363636,0.9578313253012049,0.9888268156424581,0.9851576994434137,0.9869888475836431,5.605105847776444e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
11,0.0020929315356955735,0.9801136363636364,0.980051072769128,0.9801136363636364,0.9800714205058718,0.9631901840490797,0.9515151515151515,0.9573170731707317,0.9852125693160814,0.9888682745825603,0.987037037037037,0.00023972875615899366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
12,0.002034517773030199,0.9744318181818182,0.9743448992436184,0.9744318181818182,0.9743775406504066,0.950920245398773,0.9393939393939394,0.9451219512195121,0.9815157116451017,0.9851576994434137,0.9833333333333333,0.0005183367485931905,0.9943181818181818,0.9944567627494457,0.9943181818181818,0.9943427717105454,0.975609756097561,1.0,0.9876543209876543,1.0,0.9926470588235294,0.996309963099631,pancreas,classification
13,0.002358017933478219,0.9730113636363636,0.9730731709365343,0.9730113636363636,0.9730396024258948,0.9397590361445783,0.9454545454545454,0.9425981873111783,0.983271375464684,0.9814471243042672,0.9823584029712163,9.25949961211617e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
14,0.0016125799183183435,0.9900568181818182,0.9900413561427281,0.9900568181818182,0.9900463145544535,0.9817073170731707,0.9757575757575757,0.9787234042553191,0.9925925925925926,0.9944341372912802,0.9935125115848007,0.00011113302488493818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pancreas,classification
