dataset,task,loss,accuracy,precision,recall,f1_score,precision_glioma,recall_glioma,f1_glioma,precision_meningioma,recall_meningioma,f1_meningioma,precision_none,recall_none,f1_none,precision_pituitary,recall_pituitary,f1_pituitary,precision_NPancreas,recall_NPancreas,f1_NPancreas,precision_PPancreas,recall_PPancreas,f1_PPancreas,mean_iou,mean_dice,iou_Class_0,dice_Class_0,iou_Class_1,dice_Class_1
brain_mri_nd5,classification,0.000729358831330812,0.994939555805454,0.9949801555827166,0.994939555805454,0.9949456964075643,1.0,0.9946284691136974,0.9973070017953322,0.9861259338313767,0.9978401727861771,0.9919484702093397,0.995,0.996661101836394,0.9958298582151793,0.9977997799779978,0.9912568306010929,0.9945175438596491,,,,,,,,,,,,
hf_brain_tumor,classification,0.00034512665989686834,0.997864768683274,0.997871188382044,0.997864768683274,0.9978648993194472,0.9968454258675079,1.0,0.9984202211690363,0.9941348973607038,0.9970588235294118,0.9955947136563876,1.0,1.0,1.0,1.0,0.9943977591036415,0.9971910112359551,,,,,,,,,,,,
pancreas,classification,1.4823110880322268e-05,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
btcv,segmentation,0.11849971860647202,0.9945068359375,,,,,,,,,,,,,,,,,,,,,,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0
cvc_clinicdb,segmentation,0.00194144548802841,0.9855837938262195,,,,,,,,,,,,,,,,,,,,,,0.9133510833448764,0.9532709931087157,0.9843809474653212,0.9921290049903829,0.8423212192244316,0.9144129812270484
kvasir_seg,segmentation,0.0037361627072095872,0.965538330078125,,,,,,,,,,,,,,,,,,,,,,0.8770083555103131,0.9323739267395761,0.9602690854330825,0.9797319077966586,0.7937476255875436,0.8850159456824935
medseg_covid,segmentation,0.02546226680278778,0.9880615234375,,,,,,,,,,,,,,,,,,,,,,0.5260832919194092,0.5572467840526988,0.9880517513090686,0.9939899709939322,0.06411483252974977,0.1205035971114655
medseg_liver,segmentation,0.021422529762441463,0.9741099964488636,,,,,,,,,,,,,,,,,,,,,,0.7008922092798852,0.7931224617608141,0.9735981440604611,0.9866224763034991,0.4281862744993092,0.5996224472181291
