epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_precision_glioma,train_recall_glioma,train_f1_glioma,train_precision_meningioma,train_recall_meningioma,train_f1_meningioma,train_precision_none,train_recall_none,train_f1_none,train_precision_pituitary,train_recall_pituitary,train_f1_pituitary,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_precision_glioma,val_recall_glioma,val_f1_glioma,val_precision_meningioma,val_recall_meningioma,val_f1_meningioma,val_precision_none,val_recall_none,val_f1_none,val_precision_pituitary,val_recall_pituitary,val_f1_pituitary,dataset,task
1,0.019132901898772415,0.7641807830182048,0.7631247205067215,0.7641807830182048,0.7633426015951142,0.7564018384766907,0.7583936800526663,0.757396449704142,0.7018834608593291,0.6623160233268537,0.6815259322760394,0.8367181153533713,0.8306451612903226,0.8336705787130716,0.7822538177988415,0.8278071886319309,0.8043860836604846,0.010382454497763238,0.870677537250492,0.8821120592672178,0.870677537250492,0.871089855242801,0.9716231555051078,0.7663384064458371,0.8568568568568569,0.7443820224719101,0.8585313174946004,0.7973921765295887,0.9428104575163399,0.9632721202003339,0.9529314616019818,0.8724899598393574,0.9497267759562842,0.9094714809000524,brain_mri_nd5,classification
2,0.010589073584349884,0.8810009137555352,0.8807434814382891,0.8810009137555352,0.880751035575048,0.8844109831709478,0.8764538073293834,0.8804144164003086,0.8458464173565515,0.8228269925020828,0.8341779279279279,0.9231697506033789,0.9254032258064516,0.9242851389448248,0.8817839871037076,0.9144608526051825,0.8978251949117768,0.00581912479934429,0.9342142254709025,0.936838664972085,0.9342142254709025,0.9342552908926518,0.9820717131474104,0.88272157564906,0.9297501178689298,0.879,0.949244060475162,0.9127725856697819,0.9376996805111821,0.9799666110183639,0.9583673469387755,0.9395900755124056,0.9519125683060109,0.9457111834961998,brain_mri_nd5,classification
3,0.008044788792494763,0.907218668728474,0.9070477421777375,0.907218668728474,0.9071037318762132,0.9065130704474966,0.8979591836734694,0.9022158527174512,0.8785072951739619,0.8694806998056096,0.8739706908583391,0.9318725099601594,0.9431451612903226,0.9374749498997996,0.9192085737840066,0.9320144887155196,0.9255672385168788,0.006464800807090498,0.9316840033736294,0.9381789145726115,0.9316840033736294,0.9320079155617768,0.9927536231884058,0.8585496866606983,0.9207873259721555,0.8409728718428437,0.9708423326133909,0.9012531328320802,0.978984238178634,0.9332220367278798,0.9555555555555556,0.943217665615142,0.980327868852459,0.9614147909967846,brain_mri_nd5,classification
4,0.00659980553063487,0.927602446053279,0.927525121499535,0.927602446053279,0.9275503964889735,0.9218233869191808,0.9185867895545314,0.9202022422510442,0.9041095890410958,0.8980838655928909,0.9010866536639732,0.9531123686337915,0.9508064516129032,0.9519580137262817,0.9405777166437415,0.9526330454165506,0.9465669988925803,0.00277005630894335,0.9713241495642395,0.9713924486108568,0.9713241495642395,0.971319521271672,0.973967684021544,0.9713518352730528,0.972658000896459,0.9557713052858684,0.9568034557235421,0.956287101996762,0.9690553745928339,0.993322203672788,0.9810387469084914,0.9855875831485588,0.9715846994535519,0.9785360484314805,brain_mri_nd5,classification
5,0.005712096952438698,0.9375131791663738,0.937443765646933,0.9375131791663738,0.937466338078163,0.9351626466032308,0.9273644941847707,0.9312472454825914,0.9167362851573377,0.914190502638156,0.9154616240266963,0.9552536955653216,0.9641129032258065,0.9596628537025887,0.9488101826231322,0.9554193368626358,0.9521032902957102,0.0031289260082746997,0.9642957548495924,0.9649663675391879,0.9642957548495924,0.96439476317614,0.9754990925589837,0.9623992837958818,0.9689049121225778,0.9233160621761658,0.9622030237580994,0.9423585404547858,0.9876760563380281,0.9365609348914858,0.961439588688946,0.9793926247288504,0.9868852459016394,0.9831246597713663,brain_mri_nd5,classification
6,0.005258464513077768,0.9450340901103536,0.9450107376866684,0.9450340901103536,0.9450037508425135,0.9462580501887631,0.93504498573623,0.9406181015452538,0.928928373126041,0.9291863371285753,0.9290573372206026,0.9587505006007209,0.9653225806451613,0.9620253164556962,0.9500689655172414,0.9595987740317637,0.9548100914887718,0.002892832265143582,0.9721675569299972,0.9724765800390497,0.9721675569299972,0.9720633584038355,0.9698848538529672,0.9803043867502238,0.97506678539626,0.9818181818181818,0.9330453563714903,0.9568106312292359,0.9899665551839465,0.988313856427379,0.9891395154553049,0.9547368421052631,0.9912568306010929,0.9726541554959786,brain_mri_nd5,classification
7,0.004488462433305365,0.951149223307795,0.9511224170659822,0.951149223307795,0.9511320312123416,0.9467897977132805,0.9449199034452491,0.9458539264140582,0.9345039018952063,0.9311302415995557,0.9328140214216164,0.9729620661824052,0.9721774193548387,0.9725695845098831,0.9582064766122336,0.9646140986347171,0.9613996112191058,0.0021579461419977937,0.9794770874332303,0.9796535021041378,0.9794770874332303,0.9794557225580679,0.9683098591549296,0.9847806624888094,0.9764758100310696,0.9845303867403314,0.9622030237580994,0.9732386673948662,0.9965694682675815,0.9699499165275459,0.9830795262267343,0.977491961414791,0.9967213114754099,0.987012987012987,brain_mri_nd5,classification
8,0.004527976520468444,0.9517818232937373,0.951760745444126,0.9517818232937373,0.9517690437012118,0.9485100788781771,0.9499670836076366,0.9492380221466944,0.940536013400335,0.9355734518189391,0.9380481692885981,0.9617706237424547,0.9637096774193549,0.9627391742195368,0.9602335928809789,0.9621064363332404,0.9611691022964509,0.003387553993114269,0.9659825695811076,0.966315577403124,0.9659825695811076,0.9659831547467855,0.9726526891522334,0.955237242614145,0.96386630532972,0.9734806629834254,0.9514038876889849,0.9623156744948116,0.9800332778702163,0.9833055091819699,0.9816666666666667,0.9423480083857443,0.9825136612021858,0.962011771000535,brain_mri_nd5,classification
9,0.004216146726832092,0.9555071343220637,0.9554634452543748,0.9555071343220637,0.9554717766091836,0.9527887571365832,0.9521615097651964,0.9524750301832949,0.9430575035063113,0.9336295473479589,0.9383198437063913,0.9717628075837031,0.9713709677419354,0.9715668481548699,0.9600440892807937,0.9707439398161047,0.9653643668606262,0.0015609486380612674,0.9853809389935339,0.9854965800727625,0.9853809389935339,0.9853657340154406,0.9944903581267218,0.9695613249776186,0.9818676337262012,0.973404255319149,0.9881209503239741,0.9807073954983923,0.9851239669421488,0.994991652754591,0.9900332225913622,0.9869989165763814,0.9956284153005465,0.9912948857453754,brain_mri_nd5,classification
10,0.003848622107862355,0.9581078231531595,0.9580948746364879,0.9581078231531595,0.9580959982238154,0.9573763250883393,0.9512837393021725,0.9543203082003302,0.945323341659728,0.9458483754512635,0.9455857856746253,0.9706473663047849,0.9733870967741935,0.972015300986511,0.9631476863397063,0.9685149066592366,0.9658238399555432,0.0020958427202987066,0.9800393590104021,0.9801727999649886,0.9800393590104021,0.9800227742028803,0.9684487291849255,0.9892569382273948,0.978742249778565,0.9889135254988913,0.9632829373650108,0.975929978118162,0.9814814814814815,0.9732888146911519,0.9773679798826488,0.9847826086956522,0.9901639344262295,0.987465940054496,brain_mri_nd5,classification
11,0.003357797399594769,0.9636606452519857,0.9636599959502307,0.9636606452519857,0.9636530316882974,0.961351590106007,0.9552337063857801,0.9582828838745184,0.9518005540166204,0.9541793946126076,0.9529884898072389,0.9773554387383745,0.9745967741935484,0.9759741570765192,0.9690265486725663,0.9763165227082753,0.9726578764746704,0.001734329259413456,0.9800393590104021,0.9801793949957441,0.9800393590104021,0.9799936824712834,0.9881278538812786,0.9686660698299016,0.9783001808318263,0.9824175824175824,0.9654427645788337,0.9738562091503268,0.9754500818330606,0.994991652754591,0.9851239669421488,0.971307120085016,0.9989071038251366,0.9849137931034483,brain_mri_nd5,classification
12,0.003146053949059252,0.967456245167639,0.9674309137049887,0.967456245167639,0.967431809348179,0.9650856389986825,0.9644502962475313,0.9647678630227198,0.9615600448933782,0.9516800888642044,0.9565945568736915,0.9778938906752411,0.9810483870967742,0.9794685990338164,0.9690693178679922,0.9777096684313179,0.9733703190013869,0.0017130974863006794,0.9848186674163621,0.9849326448887613,0.9848186674163621,0.9848348972747497,0.9927536231884058,0.981199641897941,0.9869428185502026,0.9692470837751855,0.9870410367170627,0.9780631353665061,0.9867549668874173,0.994991652754591,0.9908561928512053,0.9900662251655629,0.980327868852459,0.985172981878089,brain_mri_nd5,classification
13,0.003787166959564019,0.9605679342096015,0.9605387076916682,0.9605679342096015,0.9605508049635649,0.960456942003515,0.9594031160851437,0.9599297398177626,0.9458856345885635,0.9416828658705915,0.9437795713888116,0.9722668810289389,0.9754032258064517,0.9738325281803543,0.9672404219877846,0.9707439398161047,0.9689890140453344,0.0017622860381183352,0.9820073095305032,0.9822821051378388,0.9820073095305032,0.9819546394175279,0.9848349687778769,0.9883616830796778,0.9865951742627346,0.9887640449438202,0.9503239740820735,0.9691629955947136,0.9983221476510067,0.993322203672788,0.99581589958159,0.9621052631578947,0.9989071038251366,0.9801608579088472,brain_mri_nd5,classification
